bestandsnaam;titel;dossier;datum;entiteiten;relaties;wijk_of_kern
1. Kadernota en begroting 2023 dd 21-3-2022.pdf;Kadernota en begroting 2023 RSJ IJsselland;Jeugdzorg (RSJ IJsselland);2022-03-21;RSJ IJsselland, Regio IJsselland, Regio Twente, Rijk, Gecertificeerde Instellingen (GI's), Gidso, RIJM;Visiedocument 2022 - 2025 Jeugd IJsselland, Dienstverleningsovereenkomsten (DVO), Begroting 2022, Inkoopmodel 2018, Besluit BO d.d. 25 maart 2020 over het bestuurlijk trekkerschap, Hervormingsagenda jeugd, Regionale visie Jeugdhulp IJsselland 2021-2025;
1. Toelichting bp Willemsoord_def.pdf;Toelichting Bestemmingsplan Willemsoord – Prins van Oranjelaan;Woningbouw;;Willemsoord, Prins van Oranjelaan, Ir. C.A. Kloosterhuisstraat, Wetland Wonen Groep, Steenwijk, T. Melenhorst;Bestemmingsplan 'Willemsoord – nieuwbouwlocatie', Raadsbesluit van 11 december 2018 'Sociale woningbouw in de noordelijke kernen en Steenwijk', Structuurvisie Infrastructuur en Ruimte (SVIR), Besluit algemene regels ruimtelijke ordening (Barro), Besluit ruimtelijke ordening (Bro);
1.0 GGD - Aanbiedingsbrief GGD IJsselland.pdf;Aanbiedingsbrief Zesde wijziging GR GGD IJsselland;Zienswijze GR;2023-10-16;GGD IJsselland, griffiers kring IJsselland, Omgevingsdienst IJsselland, Regionaal Serviceteam Jeugd IJsselland, M.W.J. van Willigen, A. Schulting;Notities van de griffiers kring IJsselland (2022 en 2023), Wet gemeenschappelijke regelingen (Wgr), Wet elektronische publicaties (Wep), Bijlage 1: Concept modelbesluit colleges tot de zesde wijziging van de Gemeenschappelijke regeling GGD IJsselland, Bijlage 2: Concept toelichting op het modelbesluit tot de zesde wijziging van de Gemeenschappelijke regeling GGD IJsselland per 1 juli 2024, Bijlage 3: Concept-versie aangepaste gemeenschappelijke regeling GGD IJsselland;
1.0 VNG - Ledenraadpleging  _Onderhandelaarsresultaat Cao Aan de slag 2026 - 2027_.pdf;Ledenraadpleging Onderhandelaarsresultaat Cao Aan de slag 2026 - 2027;Cao Aan de slag;2026-01-14;Vereniging van Nederlandse Gemeenten (VNG), Cedris, FNV, CNV, Kamer Inclusieve Arbeid (KIA), College voor Arbeidszaken (CvA), Ministerie van Sociale Zaken en Werkgelegenheid (SZW), Panteia, Rijk, Kabinet, J. Jongepier;Cao Aan de slag 2026 - 2027, Cao SW, Wet allocatie arbeidskrachten door intermediairs (Waadi), Participatiewet, Banenafspraak;
1.1 GGD - Concept GR GGD IJsselland incl concept 6e wijziging versie tbv colleges en zienswijzen raden okt 2023.pdf;Concept Gemeenschappelijke Regeling GGD IJsselland inclusief 6e wijziging;Zienswijze GR;;GGD IJsselland, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, Provincie Overijssel, Veiligheidsregio IJsselland;6e wijziging Gemeenschappelijke regeling GGD IJsselland;
1.1 GGD brief aan colleges besluitvorming 6e wijziging GR GGD voorjaar 2024.pdf;Zesde wijziging GR GGD IJsselland;Wijziging Gemeenschappelijke Regeling (GR);2024-03-28;GGD IJsselland, M.W.J. van Willigen, A. Schulting, Colleges van burgemeester en wethouders van de deelnemende gemeenten;Modelbesluit colleges tot de zesde wijziging van de Gemeenschappelijke regeling GGD IJsselland (Bijlage 1), Toelichting op het modelbesluit tot de zesde wijziging van de Gemeenschappelijke regeling GGD IJsselland (Bijlage 2), Concept-aangepaste gemeenschappelijke regeling GGD IJsselland (Bijlage 3), Wet elektronische publicaties (Wep);
1.2 GGD - Toelichting op Modelbesluit 6e wijziging van de GR GGD IJsselland tbv colleges en zienswijzen raden okt 2023.pdf;Toelichting op het Modelbesluit tot 6e wijziging van de GR GGD IJsselland;Wijziging Gemeenschappelijke Regeling (GR);;GGD IJsselland, Veiligheidsregio IJsselland, Omgevingsdienst IJsselland, Regionaal Serviceteam Jeugd IJsselland, Griffiers kring IJsselland, Algemeen bestuur GGD, Dagelijks bestuur GGD, Gedeputeerde staten;Wet gemeenschappelijke regelingen (Wgr), Wet publieke gezondheid, Wet elektronische publicaties, Besluit begroting en verantwoording provincies en gemeenten, Functieboek HR21, Concept-Bestuursagenda, Kadernota, Financiële verordening;
1.2 GGD Modelwijzigingsbesluit colleges 6e wijziging GR GGD IJsselland - besluitvorming voorjaar 2024.pdf;Modelbesluit zesde wijziging Gemeenschappelijke regeling GGD IJsselland;Wijziging Gemeenschappelijke Regeling (GR);;GGD IJsselland, Gemeente Zwolle, Gedeputeerde staten;Wet gemeenschappelijke regelingen, Gemeenschappelijke regeling GGD IJsselland, Besluit begroting en verantwoording provincies en gemeenten, Voorstel van het dagelijks bestuur van GGD IJsselland;
1.3 GGD - Modelwijzigingsbesluit Colleges 6e wijziging GR GGD IJsselland - concept versie colleges en zienswijze raden okt 2023.pdf;Modelbesluit zesde wijziging Gemeenschappelijke regeling GGD IJsselland;Wijziging Gemeenschappelijke Regeling (GR);;GGD IJsselland, Gemeente Zwolle, Dagelijks bestuur GGD IJsselland, Algemeen bestuur GGD IJsselland, Gedeputeerde staten, Colleges van burgemeester en wethouders, Gemeenteraden;Wet gemeenschappelijke regelingen, Gemeenschappelijke regeling GGD IJsselland, Besluit begroting en verantwoording provincies en gemeenten;
1.3 GGD Toelichting Modelbesluit 6e wijziging GR GGD IJsselland tbv besluitvorming voorjaar 2024 def.pdf;Toelichting Modelbesluit zesde wijziging Gemeenschappelijke regeling GGD IJsselland;Wijziging Gemeenschappelijke Regeling;;GGD IJsselland, Veiligheidsregio IJsselland, Omgevingsdienst IJsselland, Regionaal Serviceteam Jeugd IJsselland, Griffierskring IJsselland, Gedeputeerde staten;Wet gemeenschappelijke regelingen (Wgr), Wet publieke gezondheid, Wet elektronische publicaties, Functieboek HR21;
1.4 GGD concept GR GGD IJsselland incl concept 6e wijziging versie tbv besluitvorming voorjaar 2024.pdf;Concept gewijzigde Gemeenschappelijke regeling GGD IJsselland;Gemeenschappelijke Regeling;;GGD IJsselland, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, Provincie Overijssel, Veiligheidsregio IJsselland;Concept 6e wijziging Gemeenschappelijke regeling GGD IJsselland, Wet gemeenschappelijke regelingen, Algemene wet bestuursrecht, Wet Publieke Gezondheid, Wet Kinderopvang, Wet op de lijkbezorging, Gemeentewet;
10. Bijlage 4. Inspraakverslag.pdf;Inspraakverslag Willemsoord Nieuwbouwlocatie;Woningbouw;2021-10-22;Dorpsbelang Willemsoord, Willemsoord, zaal 'De Steen', J. Mulder, gemeente, Annie Klijzinglaan, Prins van Oranjelaan, Wetland Wonen, werkgroep Speelveld;;
10.0 Schriftelijke vragen CU - Verlaging giftengrens 2026 - beantwoording 20260120.pdf;Beantwoording raadsvragen giften in de Participatiewet in Balans;Participatiewet;2026-01-20;College van burgemeester en wethouders, Erik de Groot, Melvin Smit, Trijn Jongman, Marcel Scheringa, Miriam Slomp-Dekkers, Dennis Eikenaar, Jelmer Trox, ChristenUnie, Jantina Drijfhout, Gemeente Steenwijkerland, Gemeente Leiden, VNG, Divosa, kerken;2026_B&W_00062, Participatiewet in Balans, Participatiewet, Leidraad algemene bijstand 2025, Leidraad algemene bijstand 2026, Reglement van Orde (artikel 37), 20251217 - Schriftelijke vragen CU - Verlaging giftengrens 2026.pdf;
11. nota van wijziging Willemsoord - Prins van Oranjelaan.pdf;Nota van wijziging bestemmingsplan Willemsoord - Prins van Oranjelaan;Bestemmingsplan;;Willemsoord, Prins van Oranjelaan, Bevoegd gezag;Bestemmingsplan Willemsoord - Prins van Oranjelaan;
11.0 Schriftelijke vragen BGL - Beschoeiing Dorpsgracht Belt-Schutsloot - beantwoording 20260127.pdf;Beantwoording raadsvragen kwaliteit vervangen beschoeiing Dorpsgracht Belt-Schutsloot;Openbare ruimte;2026-01-20;College van burgemeester en wethouders, Belt-Schutsloot, Dorpsgracht, Schutsloot, BGL, Erik de Groot, Melvin Smit, Trijn Jongman, Marcel Scheringa, Miriam Slomp-Dekkers, Dennis Eikenaar, Jelmer Trox, team Beheer Openbare Ruimte, camping Kleine Belterwijde, Gert Stam, NL-greenlabel;20260106 - Schriftelijke vragen BGL - beschoeiing Dorpsgracht Belt-Schutsloot.pdf, RAW bestek, UAV 2012 (Uniforme Administratieve Voorwaarden);
12.0 Schriftelijke vragen VE - Onbeperkt Samenleven - beantwoording 20260203.pdf;Beantwoording raadsvragen Lokale Inclusieagenda Onbeperkt Samenleven;Lokale Inclusieagenda Onbeperkt Samenleven;2026-02-03;College van burgemeester en wethouders, Gemeenteraad, Erik de Groot, Melvin Smit, Trijn Jongman, Marcel Scheringa, Miriam Slomp-Dekkers, Dennis Eikenaar, Jelmer Trox, Veur Elkaar, Corso Sint Jansklooster, Steenwijk, Aletta Makken;20260121 - Schriftelijke vragen VE - Onbeperkt Samenleven.pdf, Raadsvoorstel uitvoering VN-verdrag inzake rechten van mensen met een handicap (januari 2020);
13.0 Schriftelijke vragen BGL - Betaald parkeren bezoekerscentrum Natuurmonumenten - beantw. 20260204.pdf;Beantwoording schriftelijke vragen BGL inzake betaald parkeren bezoekerscentrum Natuurmonumenten;Openbare ruimte;2026-02-03;BGL, Natuurmonumenten, Sint Jansklooster, Stichting Nationaal Park Weerribben-Wieden, Gemeente Steenwijkerland, Bezoekerscentrum De Wieden, Erik de Groot, Melvin Smit, Trijn Jongman, Marcel Scheringa, Miriam Slomp-Dekkers, Dennis Eikenaar, Jelmer Trox, Guus Mooiweer;20260123 - Schriftelijke vragen BGL - Betaald parkeren bezoekerscentrum Natuurmonumenten..pdf, Artikel 37 van het reglement van orde;
16.0 - Schriftelijke vragen CU - Ontwikkelen woonwijk Vollenhove - beantwoording 20250123.pdf;Beantwoording raadsvragen CU over ontwikkelen nieuwe woonwijk Vollenhove;Woningbouw;2025-01-21;College van burgemeester en wethouders, Rob Bats, Melvin Smit, Trijn Jongman, Marcel Scheringa, Miriam Slomp-Dekkers, M.W. de Graaf, ChristenUnie, Henk Boxum, Vollenhove, Belangenvereniging Stad Vollenhove, Gemeente Steenwijkerland, Heutink Groep, Wetland Wonen, Steenwijk-Zuid-Oost;Schriftelijke vragen ChristenUnie d.d. 23-12-2024, Intentieovereenkomst (september 2024), Nota Grondbeleid 2025-2028, Bestemmingsplan Steenwijk-Zuid-Oost;
16.0 Informatienota 2024 - 60 - Kavelsplitsing, woningsplitsing en update beleidsontwikkeling wonen.pdf;Informatienota kavelsplitsing, woningsplitsing en update beleidsontwikkeling wonen;Woningbouw;2024-12-10;Rob Bats, Melvin Smit, Trijn Jongman, Bram Harmsma, Marcel Scheringa, M.W. de Graaf, Gemeente Steenwijkerland, Waterschap;Raadsvergadering 2 juli 2024, VAB-beleid, Nota parkeernormen 2015 gemeente Steenwijkerland, Woonagenda Steenwijkerland 2022-2026, Bijlage: Uitgangspunten kavelsplitsing voor het realiseren van (een) extra woning(en).pdf, Bijlage: Voorwaarden woningsplitsing.pdf;
17.0 Collegebesluit Icebear  8 juni 2023.pdf;Collegebesluit Vervolgtraject IceBear;Handhaving en Vergunningplicht IceBear;2023-06-08;J.H. Bats, M. Smit, T. Jongman, B. Harmsma, M. Scheringa, M.W. de Graaf, IceBear, Omgevingsdienst IJsselland, Omgevingsdienst Regio Arnhem (ODRA), SGS, TAUW, GGD, Nysingh, Provincie Overijssel, Oosterveen en de Groot, Fractie Veur Elkaar, Steenwijk, Tuk, Gemeente Steenwijkerland, Klachtencommissie Stop Overlast IceBear;Rapport van de ODRA van 16 mei 2023, Rapport van SGS van 24 februari 2023, Reactie van Tauw d.d. 2 juni 2023, Rapport van de GGD d.d. 1 juni 2023, Collegebesluit 8 november 2022, Activiteitenbesluit (Milieubeheer), Gezamenlijk advies van TAUW en Oosterveen en de Groot, Bijlage I Bor, Omgevingswet;
17.1 230602 Memo Vergunning- of meldingsplicht IceBear origineel (geanonimiseerd).pdf;Memo Vergunning- of meldingsplicht IceBear;Vergunningplicht IceBear;2023-06-02;Nysingh advocaten en notarissen, Gemeente Steenwijkerland, IceBear Steenwijk B.V., Oosterveen & De Groot, Tauw, VVE Poseidon, Afdeling bestuursrechtspraak van de Raad van State;Collegevoorstel besluit d.d. 8 november 2022, Gezamenlijk Advies Oosterveen & De Groot en Tauw d.d. 7 november 2022, Melding Activiteitenbesluit 6 februari 2018 met kenmerk 16-B30924-AIM, Toelichting op de aard en omvang van de activiteiten/processen behorende bij melding 6 februari 2018 Activiteitenbesluit, Handhavingsverzoek van VVE Poseidon d.d. 28 maart 2023, Handhavingsverzoek van N d.d. 30 december 2022, Handhavingsverzoek van de heer B d.d. 23 maart 2023, Voorgenomen besluit tot afwijzing van het handhavingsverzoek van _ d.d. 28 april 2023, Zienswijze naar aanleiding van het voorgenomen besluit d.d. 28 april 2023 van N d.d. 11 mei 2023, Voorgenomen besluit tot afwijzing van het handhavingsverzoek van S d.d. 28 april 2023, Advies 14 april 2023 (Nysingh), ABRvS 5 augustus 2015, ECLI:NL:RVS:2015:2523, ABRvS 10 januari 2018, ECLI:NL:RVS:2018:42, Besluit van 18 september 2015 (Stb. 2015, 337);
17.2 Advies GGD IceBear juni 2023 v1.0ONDERTEKEND (geanonimiseerd).pdf;Gezondheidskundig advies mei 2023 IceBear Steenwijk;Milieu- en gezondheidsklachten IceBear;2023-06-01;GGD IJsselland, Gemeente Steenwijkerland, College van B&W, IceBear / IceBear Steenwijk BV, Omgevingsdienst Regio Arnhem (ODRA), SGS Search, Cauberg Huyghen, RIVM, WHO, Omgevingsdienst IJsselland (OD IJsselland), Steenwijk, Tuk, Dolderweg 38, 40, 42, en 21, Lange Baan 4/4a, Zwolle, Deventer;Gezondheidskundig advies GGD over IceBear (oktober 2022, kenmerk A 88533/1l), Emissiemetingen bij IceBear te Steenwijk (ODRA, projectcode EM-23-02, 16 mei 2023), Indicatieve luchtmeting Steenwijk (SGS Search, referentie P23002619, 24 februari 2023), Akoestisch onderzoek Dolderweg e.a. (Cauberg Huyghen, notitie 05402-53750-17, 11 mei 2023), Handreiking Industrie en Gezondheid (RIVM, december 2022), GGD richtlijn medische milieukunde: Luchtkwaliteit en Gezondheid (RIVM Rapport 2018-0016), GGD richtlijn medische milieukunde: Geur en gezondheid (RIVM rapport 2015-016), GGD richtlijn medische milieukunde: omgevingsgeluid en gezondheid (RIVM Rapport 2019-0177), Activiteitenbesluit Milieubeheer, Overijsselse geurbeleid;
17.3 Bevindingen Tauw02062023 (geanonimiseerd).pdf;Beoordeling lucht- en geurmetingen Icebear;Lucht- en geurmetingen Icebear;2023-06-02;TAUW, Gemeente Steenwijkerland, Icebear, Omgevingsdienst Regio Arnhem, SGS, Provincie Overijssel, Kenniscentrum InfoMil, ODRA;Rapport: Emissiemetingen bij Icebear te Steenwijk (rapportdatum 16 mei 2023, opgesteld door Omgevingsdienst Regio Arnhem), Rapport: Indicatieve luchtmeting Steenwijk, Kenmerk: P23002619 (rapportdatum 24 februari 2023, opgesteld door SGS), NVN2818:2019 voor bepaling hedonische waarde geur;
17.4 P23002619 Rapport  buitenluchtonderzoek (geanonimiseerd).pdf;Indicatieve luchtmeting Steenwijk;Luchtkwaliteit;2023-02-24;Omgevingsdienst IJsselland, SGS Search, SGS Search Laboratorium B.V., SGS Belgium NV, Steenwijk, Firma Icebear, Dolderweg, Hedin automotive, Langebaan, SER (Sociaal- Economische Raad);;
17.5 16052023meetresultaten (geanonimiseerd).pdf;Emissiemetingen bij IceBear te Steenwijk;Emissiemetingen;2023-05-16;Omgevingsdienst Regio Arnhem, IceBear, Steenwijk, Omgevingsdienst IJsselland, Gemeente Steenwijkerland, Provincie Gelderland, Raad voor Accreditatie, Buro Blauw, AL-West;Emissieonderzoek EM-22-34, Beleidsregel Geur bedrijven (niet veehouderijen) (kenmerk: 2017/0304465);
1708-02 Totaalversie 21 februari 2023.pdf;Bestemmingsplan Bergstein Wethouder Slootstraat/De Erfgenamen;Woningbouw;2023-02-21;Gemeente Steenwijkerland, Bergstein, Wethouder Slootstraat, De Erfgenamen, Tuk, Wethouder Zeefatstraat, Steenwijk, Wolvega, Leeuwarden, Zwolle, Meppel, Tukseweg, Rijksweg A32, kanaal Steenwijk - Ossenzijl;Bestemmingsplan 'Tuk Bergstein' (2007), Beeldkwaliteitsplan Bergstein, Nationale Omgevingsvisie, Omgevingsvisie Overijssel 2017, Omgevingsverordening Overijssel 2017, Omgevingsvisie Steenwijkerland, Strategische Toekomstvisie Steenwijkerland 2030, Beleidsplan Verkeer Steenwijkerland 2017 - 2020, Woonvisie Steenwijkerland 2017 - 2021, Regionale woonagenda West -Overijssel 2021 - 2025, Welstandsnota, Nota Parkeernormen 2015;
18.0 College - Toelichting situatie Scala 17112022 (002).pdf;Toelichting Situatie Scala;Situatie Scala;2022-11-18;Scala, Hoogeveen, Meppel, Westerveld, de Wolden, Steenwijkerland, College van burgemeester en wethouders, Gemeenteraad;Vertrouwelijke brief van en over Scala (11 november 2022);
2 Goed werkgeverschap na dienstongevallen - brief VB.pdf;Oprichting stichting risicobeheer veiligheidsregio’s;Risicobeheer en verzekeringen Veiligheidsregio's;2021-10-14;Veiligheidsberaad, Algemeen bestuur veiligheidsregio, Arnhem, M. Luijten, P. Stevens, Raad van Commandanten en Directeuren Veiligheidsregio (RCDV), VNG, VNG Risicobeheer en Verzekeringsbedrijf Groot Amsterdam, Autoriteit Financiële Markten (AFM), De Nederlandse Bank (DNB), Dhr. H.M.F. Bruls;Principebesluit Veiligheidsberaad 4 oktober 2021, Wet gemeenschappelijke regelingen (artikel 31a, lid 1 en 2), Bijgevoegde modelbrief;
2. r_NL.IMRO.1708.WLOprinsvoranjelBP-ON01_20122021 (1).pdf;Regels Ontwerpbestemmingsplan Willemsoord - Prins van Oranjelaan;Bestemmingsplan;2021-12-20;Gemeente Steenwijkerland, Willemsoord, Prins van Oranjelaan;GML-bestand NL.IMRO.1708.WLOprinsvoranjelBP-ON01, Wet algemene bepalingen omgevingsrecht, Opiumwet, Regeling Standaarden Ruimtelijke Ordening 2012;
2. Strategische beleidsagenda 2023-2026.pdf;Strategische beleidsagenda 2023-2026 Veiligheidsregio IJsselland;Veiligheidsbeleid en crisisbeheersing;;Peter Snijders, Veiligheidsregio IJsselland, GGD, Hanzesteden, Meldkamer Oost Nederland, Apeldoorn, Overijssel, Gelderland, Ministerie van Justitie en Veiligheid, VNG, Veiligheidsberaad, IPO, Rijk, GHOR;Wet veiligheidsregio’s (Wvr), Evaluatie Wet veiligheidsregio's (04-12-2020), Contourennota Versterking Crisisbeheersing en Brandweerzorg, Huidig risicoprofiel, Bestuurlijke afspraken over de doorstroom migratie (26 augustus 2022), Gewijzigde wet gemeenschappelijke regelingen (1-7-2022), Omgevingswet, Wet Publieke gezondheid (Wpg), Nieuwe AMvB over acute zorg;
2.0 OD - 20231016 aanbiedingsbrief voorstel tweede wijziging Gemeenschappelijke Regeling OD IJsselland.pdf;Voorstel tweede wijziging Gemeenschappelijke Regeling Omgevingsdienst IJsselland;Wijziging Gemeenschappelijke Regeling (GR);2023-10-16;Omgevingsdienst IJsselland, Zwolle, 11 gemeenten in de regio IJsselland, Provincie Overijssel, Regionaal Serviceteam Jeugd, GGD, Veiligheidsregio, J.H. (Jurjen) Bos, Maarten Offinga, Jan Dirk Nijkamp;Omgevingswet, Archiefwet, Wet gemeenschappelijke regelingen (Wgr), 2e wijziging GR OD IJsselland, toelichting bij 2e wijziging GR OD IJsselland, geconsolideerde versie GR OD IJsselland, bijlage bij Gemeenschappelijke Regeling Omgevingsdienst IJsselland;
2.1 OD - 20231005 2e wijziging GR OD IJsselland.pdf;2e wijziging van de Gemeenschappelijke Regeling Omgevingsdienst IJsselland;Wijziging GR;2023-10-05;Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, Provincie Overijssel, Omgevingsdienst IJsselland;Gemeenschappelijke Regeling Omgevingsdienst IJsselland (2023 geëvalueerd), Wet gemeenschappelijke regelingen, Omgevingsbesluit, Omgevingswet, Gemeentewet, Provinciewet, Algemene wet bestuursrecht;
2.1 OD 20240328 aanbiedingsbrief advies zienswijzen en vervolg tweede wijziging Gemeenschappelijke Regeling OD IJsselland.pdf;Aanbiedingsbrief advies zienswijzen en vervolg tweede wijziging GR Omgevingsdienst IJsselland;Wijziging Gemeenschappelijke Regeling;2024-03-28;Omgevingsdienst IJsselland, Zwolle, Gemeenteraad Kampen, Provinciale Staten, Maarten Offinga, Jan Dirk Nijkamp, Jurjen Bos;Voorstel voor de tweede wijziging van de Gemeenschappelijke Regeling Omgevingsdienst IJsselland (16 oktober 2023), Wet gemeenschappelijke regelingen, Zienswijze gemeenteraad Kampen, Zienswijzen Provinciale Staten;
