Bestemmingsplan Lakeweg 7 en 8_ontwerp_1_Toelichting.pdf;Ontwerp bestemmingsplan Lakeweg 7 en 8;Bestemmingsplan;2022-06-01;BJZ.nu, Waterschap Drents Overijsselse Delta;m.e.r. besluit, Uitgangspuntennotitie Waterschap Drents Overijsselse Delta, KGO-investering;
Bestemmingsplan ontwerp.pdf;Ontwerp bestemmingsplan Vollenhoofsedijk 2 te Blokzijl;Bestemmingsplan;2023-12-04;Fam. De Boer, Kleine Camping De Duin, Mestemaker Architecten, Vollenhoofsedijk 2;;Blokzijl
Bestemmingsplan verbeelding_20220303-A3.pdf;Verbeelding bestemmingsplan Steenwijk - Ruxveenseweg 2;Bestemmingsplan;2023-01-09;Rho Adviseurs, K. Heijmeriks, Ruxveenseweg, Zuidveenseweg;NL.IMRO.1708.STWRuxveenseweg2-VAS1;
Bestuursrapportage GGD IJsselland najaar 2022.bijlage begrotingswijziging 2022-1.pdf;Eerste begrotingswijziging 2022 GGD IJsselland;Begrotingswijziging GGD IJsselland;;GGD IJsselland, Rijk;Corsa G22.000976;
Bestuursrapportage GGD IJsselland najaar 2022.bijlage document.pdf;Bestuursrapportage GGD IJsselland najaar 2022;Zienswijze GR;2022-10-13;GGD IJsselland, Ministerie van VWS, RIVM, Veiligheidsregio, GHOR;Financiële verordening GGD IJsselland, Programmabegroting 2022, Begrotingswijziging 2022/1, Ontwikkelingenbrief van januari 2022;
Bestuursrapportage GGD IJsselland najaar 2022.brief aan raden.pdf;Aanbieding eerste begrotingswijziging en bestuursrapportage najaar 2022 GGD IJsselland;Zienswijze GR GGD IJsselland;2022-09-29;GGD IJsselland, Ministerie van VWS, Rijk, Christine Hoogenboom, Jeroen Homburg, A.M. (Rianne) van den Berg, Zwolle, Deventer;Programmabegroting 2022, Eerste begrotingswijziging 2022 GGD IJsselland, Bestuursrapportage najaar 2022, Wet gemeenschappelijke regelingen, Ontwikkelingenbrief van januari 2022;
Bestuursrapportage voorjaar 2023 GGD IJsselland.pdf;Bestuursrapportage voorjaar 2023 GGD IJsselland;Publieke gezondheid;2023-04-19;GGD IJsselland, Samenwerkende Gemeentelijke Organisaties, Ministerie van VWS, Veiligheidsregio IJsselland, GGD GHOR Nederland, VNG, Rijk;Programmabegroting 2022, Programmabegroting 2023, Kadernota 2024, Bestuursagenda publieke gezondheid 2023-2027, Agenda publieke gezondheid 'Beweging vanuit eigen regie', Versterking Infectieziektebestrijding en pandemische paraatheid GGD 'en';
Bestuursrapportage voorjaar 2023_Begrotingswijziging 2023-1 GGD IJsselland.pdf;Eerste begrotingswijziging 2023 GGD IJsselland;Begroting GR;;GGD IJsselland;Corsa G23.000354;
Bestuursrapportage voorjaar 2023_oplegger.pdf;Bestuursrapportage voorjaar 2023;Bestuursrapportage en begroting GGD IJsselland;2023-05-17;GGD IJsselland, Astrid Schulting, Michiel van Willigen, Rijk, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Zwartewaterland, Zwolle;Programmabegroting 2023, Ontwerp-Programmabegroting 2024, Financiële verordening GGD IJsselland, Begrotingswijziging 2023/1, Brief aan gemeenteraden;
Bijlage - Aanvullend bodemonderzoek.pdf;Aanvullend bodemonderzoek Roekebosscheweg 3a te Wanneperveen;Bodemverontreiniging;2022-12-13;Inventerra, Omgevingsdienst, Roekebosscheweg 3a, Kadastrale gemeente Brederwiede, Normec Certifications, TÜV Nederland;Verkennend bodemonderzoek (rapport 22-2050-RO1AvH, d.d. 7 april 2022);Wanneperveen
Bijlage - ecologische quickscan De Pol 18b.pdf;Quickscan Flora & Fauna De Pol 18b;Woningbouw;2021-11-11;RooBeek Advies, Alcedo Natuurprojecten, De Pol 18b;;De Pol, Baars en de Bult
Bijlage - Overzicht aan huis gebonden beroepen en of bedrijven.pdf;Overzicht aan huis gebonden beroepen en bedrijven;Aan huis gebonden beroepen en bedrijven;;Kamers van Koophandel;;
Bijlage - Quickscan flora en fauna.pdf;Quickscan Wet natuurbescherming Roekebosscheweg 3a te Wanneperveen;Wet natuurbescherming;2022-03-09;BLOM ECOLOGIE, Buro SRO Oost B.V., Natuurgebied 'de Wieden';;Wanneperveen
Bijlage - Regiovisie Huiselijk Geweld en Kindermishandeling (def).pdf;Regiovisie IJsselland Huiselijk Geweld en Kindermishandeling;Huiselijk Geweld en Kindermishandeling;Onbekend;Regio IJsselland;Regiovisie Huiselijke Geweld en Kindermishandeling 2021 - 2024, Toekomstbeeld 2030 Samen tegen huiselijk geweld - Lokaal sterk, Hervormingsagenda Jeugd, Toekomstscenario Kind- en Gezinsbescherming, Leidraad Werken aan Veiligheid, Aanpak Voorkomen Escalatie (AVE);
Bijlage - Regiovisie Jeugdhulp IJsselland 2026-2031.pdf;Regionale visie Jeugdhulp IJsselland 2026-2031;Jeugdhulp;2025-10-10;RSJ IJsselland, Michiel van Willigen, GGD, Gecertificeerde Instellingen, Commissie Van Ark;Kinderrechtenverdrag, Hervormingsagenda Jeugd, Wet verbetering beschikbaarheid jeugdzorg, Jeugdwet, Regionale uitvoeringsagenda;
Bijlage - verkennend bodemonderzoek De Pol 18b.pdf;Verkennend milieukundig bodemonderzoek De Pol 18b;Woningbouw;2021-11-04;;;De Pol
Bijlage - Verkennend bodemonderzoek.pdf;Verkennend bodemonderzoek Roekebosscheweg 3a te Wanneperveen;Bestemmingswijziging en nieuwbouw;2022-04-07;Inventerra, Buro SRO, Normec Certification, TÜV Nederland, Roekebosscheweg 3a;;Wanneperveen
Bijlage - voorbeeld nen 2767 rapport en MJOP Brandweerkazerne Giethoorn.pdf;Inspectierapport Brandweerkazerne Giethoorn;Vastgoedonderhoud;2024-04-05;Jeroen Veldhuizen, Bartus Warnersweg 1, Brandweer;;Giethoorn
Bijlage - Voortoets stikstofdepositie .pdf;Voortoets stikstofdepositie Roekebosscheweg, Wanneperveen;Stikstof;2023-01-30;Natura 2000;;Wanneperveen
Bijlage 1 - Grondtekening (ingezoomd).pdf;Grondtekening mogelijke opstelling windturbines percelen Oldemarkt e.o.;Windturbines;2023-12-14;S.G. Zwerver, De Lende, Jonkers- of Helomavaort, Driewegsluis;;Oldemarkt, Ossenzijl
Bijlage - Voortoets stikstofdepositie.pdf;AERIUS Projectberekening nieuwbouw woning De Pol 18b;Stikstof;2023-04-13;Natura 2000, Löhnislaan;;De Pol
Bijlage - Watertoets (1).pdf;Digitale Watertoets;Watertoets;2022-03-28;Waterschap Drents Overijsselse Delta;Wet ruimtelijke ordening (Wro), waterbeheerplan 2016-2021, Water Raakt!, De Keur, verbreed gemeentelijke rioleringsplan (vGRP);
Bijlage - Watertoets.pdf;Resultaat Digitale Watertoets;Watertoets;2021-11-12;Waterschap Drents Overijsselse Delta;;
Bijlage - Wel of geen staatsteun (rechtmatigheid)- Advies Helpdesk decentraal Europa.pdf;Juridisch advies over staatssteun en Wet Markt en Overheid bij renovatie congresvoorziening theater;Staatssteun;;Kenniscentrum Europa decentraal, Theater de Meenthe, Onemeeting;Financiële verordening 2018 Steenwijkerland;
Bijlage 1  Archeologisch onderzoek.pdf;Bureauonderzoek en inventariserend veldonderzoek Jan Steenstraat Steenwijk;Archeologisch onderzoek;2021-08-01;Lycens B.V., Stichting Woonconcept, Gemeente Steenwijkerland, Jan Steenstraat, Maaike van Benthem, M. Soldaat, A.G.J. Hullegie, A.M. Bakker, H. Kroes-Nawijn;;
Bijlage 1 - Concept Modelwijzigingsbesl BenW opheffing RSJ en 7e wijzi GR GGD.pdf;Modelbesluit opheffing RSJ IJsselland en 7e wijziging GR GGD IJsselland;Gemeenschappelijke regelingen;2025-07-10;GGD IJsselland, RSJ IJsselland, Regionaal Serviceteam Jeugd, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, Provincie Overijssel;Gezamenlijke voorstel van het dagelijks bestuur van GGD IJsselland en het bestuur van RSJ IJsselland d.d. 10 juli 2025, Notitie 'Samen robuust' - Uitwerking richtinggevend bestuursbesluit tot verkenning fusie RSJ en GGD IJsselland (versie 9 april 2025), Concept-liquidatieplan d.d. 9 april 2025 voor het Regionaal Serviceteam Jeugd IJsselland;
Bijlage 1 - Jaarstukken 2024 GGD IJsselland.begeleidende brief gemeenteraden.pdf;Begeleidende brief Jaarstukken 2024 GGD IJsselland;Gemeenschappelijke Regeling (GR) GGD IJsselland;2025-04-23;GGD IJsselland, Dagelijks bestuur GGD IJsselland, Algemeen bestuur GGD IJsselland, Gedeputeerde Staten van de provincie Overijssel, Ministerie van VWS, Commissie BBV, Astrid Schulting (directeur Publieke Gezondheid), Jeroen Homburg;Jaarstukken 2024 (Jaarverslag en Jaarrekening), Programmabegroting 2026, Managementletter over 2024, Wet gemeenschappelijke regelingen (Wgr), Besluit Begroting en Verantwoording provincies en gemeenten (BBV);
Bijlage 1 - Landschappelijk inpassingsplan.pdf;Beplantingsplan familie ten Klooster aan de Oldemarktseweg 103;Landschappelijke inpassing;;Familie ten Klooster, Oldemarktseweg 103;;Steenwijkerwold en Witte paarden
Bijlage 1 - Notitie Samen robuust - voorstel overgang RSJ-GGD.pdf;Samen robuust - Uitwerking verkenning fusie RSJ en GGD IJsselland;Fusie RSJ en GGD IJsselland;2025-04-09;Regionaal Serviceteam Jeugd IJsselland (RSJ), GGD IJsselland, 11 IJssellandse gemeenten, Lysias Advies, Bastiaan Wallage (Van Benthem Keulen), Sander van Walsem (gemeente Kampen), Gemeente Kampen;Notitie: Naar robuuste regionale samenwerking! (26 november 2024), Hervormingsagenda jeugd, Toekomstscenario jeugd- en gezinsbescherming, Regiovisie;
Bijlage 1 - Op weg naar een nieuw museum in twee scenarios_def.pdf;Op weg naar een nieuw museum voor Steenwijkerland - Uitwerking twee scenario's;Cultuur en Erfgoed;2023-02-01;Stadsmuseum Steenwijk, Kermis- en Circusmuseum, Hildo Krop Museum, Historische Vereniging Steenwijk e.o., Galerie Steenwijk, Bureau De Wierde, Studio Louter, OPERA Amsterdam, Dijkoraad, RAAP, Find Asbestinventarisatie, Huls Architecten, Blueyard, Villa Rams Woerthe, Spijkervetstallen, Kasteel Toutenburg, Kuinderburcht;Haalbaarheidsonderzoek (2020), Masterplan 'Op weg naar een nieuw museum voor Steenwijkerland' (2021), Politieke Markt (14 december 2021), FARO-verdrag;Vollenhove, Blokzijl, Giethoorn
Bijlage 1 - Reactienota voorkeursrecht.pdf;Reactienota op zienswijzen bij concept raadsbesluit bevestiging voorkeursrecht;Windenergie en voorkeursrecht;;College van burgemeester en wethouders, Kadaster, Provincie, Natura 2000;Concept raadsbesluit bevestiging voorkeursrecht, Algemene wet bestuursrecht art. 4:8, Windladder (bijlage 1), Omgevingsbesluit artikel 9, Omgevingswet artikel 9;Oldemarkt, Ossenzijl, Ijsselham
Bijlage 1 - Studie unilocatie VO Stw.25.9.23_00.pdf;Studie Unilocatie Voortgezet Onderwijs Steenwijkerland;Onderwijshuisvesting;2023-09-25;Schoolbestuur Simant, RSG Tromp Meesters, Gemeente Steenwijkerland, Lijsterbesstraat 1;Raadsbesluit april 2021, Coalitieakkoord 2022-2026, SamenwerkingsOvereenKomst (SOK), Programma van Eisen (PvE);
Bijlage 1 - Verordening gecertificeerde instellingen.pdf;Subsidieverordening Gecertificeerde Instellingen Regio IJsselland;Jeugdbescherming en jeugdreclassering;2022-12-20;college van burgemeester en wethouders, RSJ IJsselland, Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Ommen, Gemeente Olst-Wijhe, Gemeente Raalte, Gemeente Staphorst, Gemeente Zwartewaterland, Gemeente Zwolle, Nederlandse Zorg Autoriteit (NZA);voorstel van het college van 20 december 2022 kenmerk 2022-B&W_00953, Gemeentewet, Algemene wet bestuursrecht, Subsidieverordening Gecertificeerde Instellingen Regio IJsselland 2020-2022, Jeugdwet, Certificatieschema voor toetsing van het kwaliteitsmanagementsysteem van uitvoerende organisaties voor Jeugdbescherming en Jeugdreclassering, Toekomstscenario kind- en gezinsbescherming;
Bijlage 1 - voorkeursrecht besluit college van 9 januari 2024.pdf;Vestiging voorlopig voorkeursrecht op twaalf percelen te Oldemarkt;Voorkeursrecht (Windenergie);2024-01-09;Gemeente Steenwijkerland, Kadaster, De Lende, Ossenzijlerweg;Omgevingswet (artikel 9.1 lid 1 en 2), Algemene wet bestuursrecht (artikel 4:8);Oldemarkt
Bijlage 1 Aan de slag met het omgevingsplan.pdf;Aan de slag met het omgevingsplan;Omgevingsplan;2023-01-17;Vereniging van Nederlandse Gemeenten;;
Bijlage 1 aangepast_Landschapsplan en beplantingsplan achtergrondDwarsgracht 13 en 13a.pdf;Landschappelijk inpassingsplan en erfplan Dwarsgracht 13 en 13A;Woningbouw;2022-01-01;De Wieden;;Jonen en Dwarsgracht
BIJLAGE 1 Afdeling 8.4 Kostenverhaal Bouwactiviteiten.pdf;Omgevingsbesluit Afdeling 8.4 Kostenverhaal Bouwactiviteiten;Kostenverhaal;2024-01-01;Bevoegd gezag;Omgevingsbesluit, Wet waardering onroerende zaken, Bijlage IV;
Bijlage 1 bij  collegevoorstel vervolg scenarios vaststelling subsidies maatschappelijke organisaties.pdf;Uitwerking scenario's vaststelling subsidies maatschappelijke organisaties en accountantsverklaringen;Subsidies;;Theater De Meenthe, Stichting Sportservice Steenwijkerland, Zwembad Tolhekke, Scala, Bibliotheek, Gemeente Emmeloord, VNG;ASV 2018 (Algemene Subsidieverordening), Collegebesluit (eerdere afspraken De Meenthe), Collegebesluit (inzake samenstellingsverklaring Tolhekke), Artikel 4:23 AWB, Artikel 213a Gemeentewet;
Bijlage 1 bij aanbiedingsbrief Raden en Staten DB adviesnota ontwerpbegrotingswijziging 2021 en 2022.pdf;Ontwerpbegrotingswijziging 2021 en 2022;Begroting;2021-11-11;Dagelijks Bestuur, Algemeen Bestuur, Raden en Staten, Provinciale Staten, J.H. Bos, J.M. Vroomen, P.J. van Zanten, J. Badenhop, B. Meijer, M.W. Offinga, Omgevingsdienst (OD), Provincie;Begroting 2022 (vastgesteld 8 juli 2021), Duurzame begroting 2023, Projectplan Energie en Duurzaamheid 2022 - 2023 (ingestemd 7 oktober 2021), CAO SGO 2021-2022, Programma Samen Toekomstbestendig;
Bijlage 1 bij de regels - Aan huis gebonden beroepen enof ambachtelijke bedrijvigheid.pdf;Overzicht aan huis gebonden beroepen en ambachtelijke bedrijvigheid;Aan huis gebonden bedrijven;;Kamers van Koophandel;;
Bijlage 1 bij de toelichting - Akoestisch onderzoek.pdf;Akoestisch onderzoek wegverkeerslawaai Bergstein, Tuk;Woningbouw;2021-03-30;De Milieu adviseur, Witpaard, Ruben Beens, Bergstein, Wethouder Zeefatstraat, Wethouder Slootstraat, Spoorlijn Leeuwarden - Zwolle, Steenwijkerweg (N334), A32;;Tuk
Bijlage 1 Fietsplan Steenwijkerland - DEF01804023.pdf;Fietsplan Steenwijkerland 2024 - 2027;Mobiliteit;2023-04-17;HaskoningDHV Nederland B.V., Overijssel;Strategische Mobiliteitsvisie, Mobiliteitsagenda;Steenwijk Centrum / Binnenstad
Bijlage 1 Fietsplan Steenwijkerland.pdf;Fietsplan Steenwijkerland CONCEPT;Mobiliteit;2023-11-01;Provincie Overijssel;Strategische Mobiliteitsvisie, Mobiliteitsagenda, Fietsmonitor 2022;Steenwijk Centrum / Binnenstad
Bijlage 1 haalbaarheidsstudie herhuisvesting Bibliotheek  - 20240729.pdf;Haalbaarheidsonderzoek Bibliotheek aan de markt;Herhuisvesting Bibliotheek;2024-07-29;Gemeente Steenwijkerland, Bibliotheek, Historische Vereniging, De Galerie, Markt, Onnastraat;Visiedocument 'de tuinen van Steenwijk';Steenwijk Centrum / Binnenstad
Bijlage 1 Hemelwaterscheidingsgebied (Steenwijk).pdf;Kaart Hemelwaterscheidingsgebied (Steenwijk);Hemelwater- en grondwaterverordening;2019-05-14;R. Ligtenberg, Esri Nederland;;
Bijlage 1 Hemelwaterscheidingsgebied - overige kernen.pdf;Kaarten Hemelwater- en grondwaterverordening - overige kernen;Hemelwater- en grondwaterverordening;2019-05-14;Gemeente Steenwijkerland, R. Ligtenberg, Esri Nederland;;Oldemarkt, Kuinre, Ossenzijl, Steenwijkerwold en Witte paarden
Bijlage 1 Locatiestudie onderwijshuisvesting Vollenhove.pdf;Locatiestudie onderwijshuisvesting Vollenhove;Onderwijshuisvesting;2025-01-01;St Martinusschool, Stichting Aves, De Voorpoort, Stichting op Kop, Kindcentrum Het Kompas, Stichting Accrete, Sportvereniging V.E.N.O., De Burght, Belangenvereniging Vollenhove Stad (BVVS), KNVB, RCE;Integraal Huisvestingsplan Onderwijs (IHP) 2023, Motie gemeenteraad gezamenlijke huisvesting omgeving De Burght, Stadsvisie;Vollenhove
Bijlage 1 Onderzoeksrapport toetreding GR CO .pdf;Onderzoeksrapport toetreding GR Collectie Overijssel;Toetreding GR Collectie Overijssel / Historisch Archief;2025-03-31;GR Collectie Overijssel (CO), Historisch Centrum Overijssel (HCO), Henriëtte de Jong (directeur), Roel Lensen (gemeentearchivaris), Brigit Hoomans (Brigit Hoomans Informatie Advies), Marco de Graaf (gemeentesecretaris), Nationaal Archief, Deventer;Afstudeeronderzoek gemeentearchivaris (2016), Adviesrapport Brigit Hoomans (2018), Raadsbesluit voorbereiding toetreding (2018), Raadsinformatie staken toetreding (2021), Begroting 2025 -2028, Projectplan uitvoering onderzoek (januari 2025);
Bijlage 1 overzicht traces.pdf;Overzicht tracés (uitsnede Visiekaart);Infrastructuur;;;;
bijlage 1 Participatieverslag_Inloopbijeenkomst 7 april - Stadsvisie Steenwijk.pdf;Participatieverslag Inloopbijeenkomst stakeholders Stadsvisie Steenwijk;Stadsvisie;2025-04-07;Grote Kerk, A32, Zwolle, ondernemers, maatschappelijke organisaties, welzijnsinstellingen, coöperaties, wijkverenigingen;Stadsvisie Steenwijk;Steenwijk West, Steenwijk Centrum / Binnenstad
bijlage 1 plattegrond Blankenham.pdf;Plattegrond Blankenham;Plattegrond;;;;Blankenham
Bijlage 1 Rekenresultaten aanlegfase.pdf;AERIUS Projectberekening Aanlegfase Leeuwte 47;Stikstof;2023-05-02;BJZ.nu, AERIUS Calculator, Natura 2000, Leeuwte 47;Wet natuurbescherming;Moespot en Leeuwte, Sint Jansklooster
Bijlage 1 Toetsingskader Bultweg 33tm53.pdf;Toetsingskader ruimtelijke kwaliteit Bultweg 33 t/m 53;Ruimtelijke kwaliteit en welstand;;Bultweg 33 t/m 53, College van burgemeester en wethouders, Onafhankelijke adviescommissie, Gemeente Steenwijkerland;Wet algemene bepalingen omgevingsrecht (Wabo) artikel 2.10 lid 1d;De Pol, Baars en de Bult
Bijlage 1 van de toelichting.pdf;Nota van wijzigingen Bestemmingsplan Technische herziening Giethoorn;Bestemmingsplan;2024-04-23;Beulakerweg 23, Beulakerweg 165, Beulakerweg 55, Binnenpad 46, Binnenpad 54, Molenweg 35a, Sportlaan 20, Aerius;Bestemmingsplan Giethoorn (2017), Ontwerpbestemmingsplan Technische Herziening Giethoorn, Memo Stikstofemissie en depositie, Ecologisch Onderzoek;Giethoorn
Bijlage 1 Voorstel voor de kaders voor het Noodfonds Energie.pdf;Voorstel voor de kaders voor het Noodfonds Energie;Noodfonds Energie;;Kamer van Koophandel, Rijk, Provincie;Vitaliteitsfonds, Algemene subsidieverordening;
Bijlage 1- Agenda publieke gezondheid gezond samen leven.pdf;Bestuursagenda Publieke gezondheid 2023 - 2027;Publieke gezondheid;;GGD IJsselland, gemeenten in IJsselland, provincie, veiligheidsregio, zorg- en welzijnsorganisaties, omgevingsdiensten, waterschappen;Beweging vanuit eigen regie (2019-2023), Gezond en actief leven akkoord (GALA), Integraal Zorg Akkoord (IZA), programma Wonen, Ondersteuning en Zorg voor Ouderen (WOZO), Landelijke Gezondheidsnota (2018), Nationaal Preventieakkoord, aanpak mentale gezondheid;
Bijlage 1- Brief aan gemeenteraden toelichting op Programmabegroting 2023 GGD IJsselland (1).pdf;Toelichting op Ontwerp programmabegroting 2023 en meerjarenraming 2024-2026 GGD IJsselland;Zienswijze GR;2022-04-05;GGD IJsselland, Gemeenten regio IJsselland, Veiligheidsregio IJsselland, Rijk, RIVM, 113 Zelfmoordpreventie, drs. A.M. (Rianne) van den Berg (directeur Publieke Gezondheid);Programmabegroting 2023, Jaarstukken 2021, Ontwikkelingenbrief 2023, Financiële uitgangspunten Programmabegroting 2023, Programmabegroting 2022, Regionale programma 'Zelfmoord? Praat erover!';
Bijlage 1. Centrumregeling beschermd wonen en maatschappelijke opvang regio IJssel-Vecht.pdf;Centrumregeling beschermd wonen en maatschappelijke opvang regio IJssel-Vecht;Beschermd wonen en maatschappelijke opvang;;Gemeente Dalfsen, Gemeente Hardenberg, Gemeente Kampen, Gemeente Ommen, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle (Centrumgemeente), Vereniging van Nederlandse Gemeenten (VNG), Rijksoverheid;Wet maatschappelijke ondersteuning 2015 (Wmo 2015), Wet gemeenschappelijke regelingen, Algemene wet bestuursrecht, Regiovisie beschermd wonen en maatschappelijke opvang 2022-2032, Norm van Opdrachtgeverschap (NvO);
Bijlage 1. Ecologische quickscan.pdf;QuickScan Flora en Fauna Brink Scheerwolde;Woningbouw;2019-04-08;Ruimte voor Advies, Provincie Overijssel, Brink;;Scheerwolde
Bijlage 1. Staat van bedrijfsactiviteiten.pdf;Staat van bedrijfsactiviteiten (Beheersverordening Buitengebied Steenwijkerland);Beheersverordening Buitengebied;2013-06-18;;Beheersverordening Buitengebied Steenwijkerland, Wet milieubeheer, Inrichtingen- en Vergunningenbesluit (IVB), Besluit externe veiligheid inrichtingen, Vuurwerkbesluit;
